Name,Context,Description,Media Type
10 Second Pause,"The '10 second pause' is a technique that can be used anywhere multiple times a day to allow people to reset your minds and not become overwhelmed.
If someone does this at the beginning and end of each task, they'll find it helps them prepare for the next part of the day.
The best part is that people can do this without anyone even noticing, in situations where there are other people around.","• Put both feet flat on the floor and sit up straight
• Breathe in slowly and gently through the nose to the count of five, expanding your abdomen as you do so (place one hand on your belly button if this help, you should feel your tummy move and your hand move outwards)
• Breathe out slowly, again to the count of five, taking notice of the stretch in your spine
• Repeat a couple of times",Audio
Anchoring,"When people find themselves in a challenging situation, they can repeat the gesture and it should help them to recall the event, helping them feel calmer and more in control. Note that this is a helpful strategy but requires time and practice to be most effective.","Close your eyes and think of a time and place in their life when you felt very calm, relaxed and at peace in as much detail as possible, thinking about what was actually happening – any sounds, smells and other sensations.

Now, create a small gesture that you can link to this event – for example, rubbing the back of one hand with the thumb of the other or tapping a couple of fingers together. Try to link the gesture with the recall of the event as strongly as they can.",Audio
Journaling,Anytime you have a few minutes. It’s a great mind-decluttering tool because it lets you sort through what’s bothering you and expressing stress or emotions can help dissipate it.,"Write about your thoughts, feelings, and experiences in an unfiltered way. Write whatever you feel, even if it is extremely negative. Start with statements like “I feel”.

Write about specific stressors, explore their emotions, or come up with new perspectives on seeing a problem by thinking about what lesson could be learnt or seeing the situation from another person’s perspective.",Text
 Circle of Influence,"Whenever the stress stems from scenarios that are outside of your control.

This simple coaching tool allows people to help identify things that are:
• Directly within your control and over which their exert influence and can make their own choices about how to proceed
• Those things that are within their sphere of influence and which although not directly within their control, they have some influence over
• Those things that sit entirely outside their sphere of influence or control and therefore they need to develop a strategy for dealing with the outcome","This strategy involves three circles.
In the inner circle, write the things you directly control and influence, for example:
• What I choose to focus on
• My actions
In the middle circle, write everything you have some influence over but which you don’t directly control, such as:
• My health
• My income
In the outer circle, tell them to write down everything that’s worrying them but over which you have no control or influence, for example:
• The news
• The economy

Once everything is written down, it soon becomes apparent that wasting time and energy worrying about things you can neither control or influence is pointless. It then becomes much easier to accept this and to move on from worrying about them.",Text
4-7-8 Breathing technique,Practice deep breathing whenever you feel stressed and watch your stress levels drop.,"Inhale for 4 counts, hold their breath for 7 counts, and exhale for 8 counts.",Audio
Progressive Muscle Relaxation,Good for when body feels tense.,"1. Close your eyes and take a few deep breaths.
2. Focus on your toes and consciously relax them.
3. Slowly move your focus up your body (feet, legs, hips, abdomen, chest, arms, hands, neck, and head), relaxing each part as you go.
4. Spend a minute or so per body part.",Audio
Visualization,Good for overwhelm,"
1. Close your eyes and take a few deep breaths.
2. Imagine a peaceful place (beach, forest, mountain).
3. Visualize the details: sights, sounds, smells, and sensations.
4. Spend 5-10 minutes immersed in this scene.",Audio
Mindfulness Meditation,Good to do as a habit for few minutes a day to become more resilient.,"1. Sit in a quiet place
2. Pay attention to your breath as it enters and exits your nose, or as your bellow expands and contracts.
3. If you have any thoughts sounds, or other things that distract yuou simply bring yourself back to focusing on your breath as it either enters nose or belly.
5. Do this for 1 minute starting out, and increase to 10-15 mins.",Audio
Affirmations,Overthinking or anxiety,"Develop a list of positive, stress-reducing affirmations, like ""I am calm and focused"" or ""I can handle this situation.”

Practice replacing your negative thoughts with these affirmations. ",Audio
Cognitive Behavior Therapy - Challenging negative thoughts,Negative thought pattern,"Ask questions like, ""Is this thought true?"" or ""What evidence supports this thought?” or “What if situation goes well instead of poorly?”",Text
Cognitive Behavior Therapy - Cognitive Restructuring,Negative thought pattern like catastrophizing or all-or-nothing thinking,"For example, if you think, ""I'll never be able to handle this stress,"" rephrase it as, ""I'm facing some challenges right now, but I have the skills to cope with them.""

This new perspective can make stress feel much more manageable.",Text
5-4-3-2-1 Grounding Technique,Overthinking and anxiety,"1. Name 5 things you can see around you.
2. Name 4 things you can touch.
3. Name 3 things you can hear.
4. Name 2 things you can smell.
5. Name 1 thing you can taste.
6. Take a deep breath and notice how you feel.",Audio
Box Breathing,Overthinking and anxiety,"
1. Inhale slowly through your nose for 4 seconds.
2. Hold your breath for 4 seconds.
3. Exhale slowly through your mouth for 4 seconds.
4. Hold your breath for another 4 seconds.
5. Repeat the cycle 4-5 times.",Audio
